gene	GSM1220552	GSM1220553	GSM1220554	GSM1220555	GSM1220556	GSM1220557	GSM1220558	GSM1220559
ENSG00000242066	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00
ENSG00000242067	0.25	0.06	0.05	0.00	0.00	0.00	0.05	0.06
ENSG00000242068	0.00	0.00	0.02	0.02	0.00	0.00	0.04	0.00
ENSG00000242070	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
ENSG00000242071	0.00	0.00	0.31	0.06	0.04	0.08	0.05	0.05
ENSG00000242072	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00
ENSG00000242073	0.11	0.37	0.47	0.42	0.82	0.08	0.27	0.09
ENSG00000242076	4.10	445.23	72.23	8.42	26.36	3.09	13.58	0.66
ENSG00000242082	0.00	0.08	0.03	0.38	0.61	0.07	0.00	0.30
ENSG00000242083	0.04	0.08	0.10	0.07	0.04	0.12	0.03	0.13
ENSG00000242085	0.00	0.10	0.33	0.37	0.22	0.15	0.29	0.00
ENSG00000242086	19.62	25.19	57.76	40.43	21.41	42.40	23.92	39.03
ENSG00000242087	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00
ENSG00000242088	0.13	0.00	0.00	0.00	0.00	0.32	0.00	0.00
ENSG00000242092	0.37	0.24	0.63	61.89	4.26	0.44	1.06	132.61
ENSG00000242094	0.00	0.02	0.18	0.04	0.01	0.01	0.03	0.04
ENSG00000242095	0.00	0.12	0.00	0.24	0.27	0.00	0.21	0.00
ENSG00000242097	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00
ENSG00000242100	0.83	0.15	0.09	0.24	0.17	0.44	0.04	0.22
ENSG00000242101	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00
ENSG00000242109	0.00	0.00	0.03	0.00	0.00	0.07	0.00	0.00
ENSG00000242110	2.26	2.32	4.69	3.29	3.25	3.10	3.78	2.41
ENSG00000242111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07
ENSG00000242113	0.00	0.00	0.00	0.13	0.00	0.00	0.11	0.00
ENSG00000242114	24.17	12.29	22.29	10.87	27.20	27.54	40.78	50.69
ENSG00000242115	0.00	0.00	0.00	0.00	0.00	0.07	0.02	0.02
ENSG00000242125	61.14	25.60	95.80	31.85	32.88	50.71	18.83	19.54
ENSG00000242128	0.09	0.85	0.19	0.44	0.68	0.07	0.14	0.27
ENSG00000242134	0.08	0.00	0.00	0.00	0.00	0.05	0.00	0.00
ENSG00000242137	0.11	0.00	0.00	0.06	0.00	0.00	0.00	0.06
ENSG00000242142	0.14	1.02	0.20	0.39	0.08	0.35	0.13	0.25
ENSG00000242147	0.04	0.00	0.00	0.00	0.00	0.00	0.42	0.00
ENSG00000242150	0.58	0.00	0.00	0.77	0.05	0.85	1.16	1.72
ENSG00000242154	1.12	0.06	0.16	0.06	0.13	0.00	0.05	0.25
ENSG00000242159	0.00	0.00	0.04	0.00	0.03	0.00	0.00	0.00
ENSG00000242162	0.07	0.00	0.07	0.00	0.00	0.00	0.00	0.00
ENSG00000242163	0.30	0.08	0.00	0.00	0.00	0.09	0.00	0.09
ENSG00000242169	0.09	0.00	0.00	0.00	0.00	0.05	0.04	0.05
ENSG00000242170	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00
ENSG00000242173	0.44	0.33	0.42	0.13	0.53	0.82	0.18	0.00
ENSG00000242175	0.00	0.00	0.00	0.23	0.13	0.00	0.31	0.00
ENSG00000242180	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
ENSG00000242185	0.10	0.00	0.00	0.00	0.05	0.00	0.00	0.00
ENSG00000242188	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000242193	1.14	2.62	0.72	1.61	1.46	1.32	1.48	2.18
ENSG00000242194	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000242198	0.00	0.71	1.26	1.92	0.99	1.16	1.44	0.00
ENSG00000242199	0.00	0.00	0.10	0.10	0.00	0.00	0.00	0.00
ENSG00000242206	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00
ENSG00000242208	0.03	0.02	0.03	0.00	0.00	0.00	0.00	0.02
ENSG00000242209	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00
ENSG00000242220	0.64	0.88	0.00	0.82	0.65	0.37	0.11	1.74
ENSG00000242227	0.04	0.31	0.14	0.45	0.33	0.27	0.30	0.19
ENSG00000242236	0.00	0.00	0.00	0.12	0.00	0.14	0.11	0.00
ENSG00000242241	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00
ENSG00000242242	0.00	0.00	0.00	0.00	0.00	0.10	0.07	0.04
ENSG00000242244	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000242247	20.94	20.00	15.35	29.15	17.94	15.63	22.02	12.31
ENSG00000242251	0.00	0.00	0.24	0.12	0.00	0.00	0.00	0.13
ENSG00000242252	2.38	1.99	1.08	1.96	0.96	2.72	0.69	3.08
ENSG00000242255	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27
ENSG00000242256	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00
ENSG00000242258	1.80	7.24	0.73	5.70	3.27	1.83	0.05	10.73
ENSG00000242259	12.15	7.44	10.13	8.52	7.86	10.36	7.21	6.08
ENSG00000242261	0.56	2.63	3.32	1.43	2.44	1.03	1.73	0.44
ENSG00000242262	0.09	0.05	0.33	0.11	0.14	0.18	0.10	0.06
ENSG00000242265	89.26	2.12	73.17	2.63	0.40	1.38	0.11	3.51
ENSG00000242267	0.14	0.74	0.95	1.25	1.70	0.89	0.86	1.80
ENSG00000242268	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00
