gene	GSM1220552	GSM1220553	GSM1220554	GSM1220555	GSM1220556	GSM1220557	GSM1220558	GSM1220559
ENSG00000000003	2.28	2.44	0.46	2.18	0.78	0.59	3.21	0.58
ENSG00000000005	0.04	0.02	0.00	0.50	0.00	0.08	0.34	0.00
ENSG00000000419	48.83	31.24	44.83	31.13	38.81	31.52	45.05	12.16
ENSG00000000457	4.31	6.80	7.44	8.52	7.74	3.76	7.28	4.93
ENSG00000000460	5.63	4.38	15.72	5.38	9.40	8.05	12.29	9.46
ENSG00000000938	4.25	26.13	5.76	11.14	10.97	19.46	39.50	16.28
ENSG00000000971	17.31	20.51	4.41	10.16	7.30	4.39	32.85	2.37
ENSG00000001036	17.00	16.47	13.36	24.07	9.28	22.94	28.73	12.05
ENSG00000001084	4.83	10.48	15.77	5.71	7.37	22.55	4.41	18.95
ENSG00000001167	4.55	14.33	12.84	14.31	14.91	12.57	10.91	13.99
ENSG00000001460	2.81	1.53	2.86	4.45	4.77	3.19	2.10	2.59
ENSG00000001461	4.09	6.55	5.71	13.35	9.67	5.27	4.41	5.11
ENSG00000001497	16.18	24.01	36.10	15.68	42.19	29.88	28.45	30.22
ENSG00000001561	4.71	4.75	6.55	4.64	10.05	2.66	5.32	2.73
ENSG00000001617	0.91	2.96	2.34	1.58	2.76	1.57	3.28	0.59
ENSG00000001626	0.07	0.10	0.00	0.00	0.00	0.00	0.00	0.02
ENSG00000001629	11.05	12.01	12.70	15.98	15.07	12.51	8.75	16.38
ENSG00000001630	8.34	9.27	16.04	8.86	6.52	6.52	12.16	3.13
ENSG00000001631	8.45	17.69	22.18	23.65	19.73	23.65	12.76	36.96
ENSG00000002016	3.93	10.96	7.60	12.97	8.27	8.94	6.43	16.92
ENSG00000002079	0.01	0.11	0.01	0.07	0.00	0.00	0.00	0.00
ENSG00000002330	32.56	17.26	17.53	20.25	15.23	23.23	25.22	10.21
ENSG00000002549	101.90	81.24	77.60	69.96	57.83	43.35	103.39	25.70
ENSG00000002586	71.36	135.60	50.11	83.29	280.36	129.05	204.39	67.10
ENSG00000002587	0.80	0.67	0.60	2.37	1.11	0.15	0.97	0.48
ENSG00000002726	0.03	5.83	0.19	0.07	0.05	0.10	0.79	0.11
ENSG00000002745	0.18	0.70	0.16	0.12	0.22	0.15	0.31	0.09
ENSG00000002746	0.00	0.04	0.00	0.01	0.01	0.01	0.18	0.00
ENSG00000002822	53.00	18.33	10.10	13.64	20.47	14.52	9.48	34.56
ENSG00000002834	29.77	62.78	45.05	92.44	89.30	75.32	93.88	45.92
ENSG00000002919	22.01	18.38	21.86	13.89	44.10	19.42	18.33	17.75
ENSG00000002933	59.43	50.04	34.37	29.68	36.24	58.13	42.32	28.08
ENSG00000003056	83.72	80.09	47.38	67.21	62.93	87.69	79.16	71.75
ENSG00000003096	0.16	0.38	1.87	0.10	0.10	0.05	0.34	0.08
ENSG00000003137	0.78	3.90	1.19	2.05	2.28	1.00	4.87	0.73
ENSG00000003147	4.37	11.37	0.90	4.55	3.06	5.18	14.51	1.69
ENSG00000003249	9.64	2.72	0.65	1.06	4.20	0.82	28.94	0.31
ENSG00000003393	2.21	3.52	5.15	3.95	3.69	3.86	3.63	4.37
ENSG00000003400	4.19	6.67	1.82	9.98	4.34	2.08	2.21	2.87
ENSG00000003402	95.14	74.05	92.31	88.98	222.23	65.01	37.50	113.04
ENSG00000003436	11.10	7.43	14.42	11.17	11.18	5.90	4.98	6.43
ENSG00000003509	14.45	12.48	12.55	12.91	19.23	16.92	11.70	18.65
ENSG00000003756	69.67	140.01	144.13	177.60	94.88	148.34	73.59	145.33
ENSG00000003987	0.37	0.57	0.41	0.59	0.64	0.44	0.39	0.38
ENSG00000003989	0.42	1.19	0.25	1.47	0.54	0.20	0.49	0.20
ENSG00000004059	74.98	76.20	92.73	50.26	87.39	115.94	145.40	114.64
ENSG00000004139	0.43	2.08	1.72	2.74	1.86	1.92	1.97	0.51
ENSG00000004142	19.25	24.62	43.44	22.20	33.90	38.63	40.38	22.13
ENSG00000004399	40.30	55.04	15.81	78.17	47.85	57.06	46.66	72.89
ENSG00000004455	66.81	52.41	109.94	65.53	109.05	83.11	97.66	63.80
ENSG00000004468	7.68	8.52	5.71	7.36	12.59	14.43	27.25	7.43
ENSG00000004478	28.94	27.55	57.90	30.70	31.21	44.65	50.55	20.86
ENSG00000004487	12.68	23.09	25.45	22.41	33.81	23.28	23.04	18.17
ENSG00000004534	91.23	119.08	85.30	107.32	87.83	115.96	116.22	159.89
ENSG00000004660	0.70	2.67	1.08	1.71	1.74	1.02	1.11	1.53
ENSG00000004700	15.22	28.05	34.16	24.73	33.93	18.52	28.14	16.03
ENSG00000004766	10.24	10.84	7.14	10.18	8.34	7.17	8.85	10.47
ENSG00000004776	2.88	11.81	1.37	4.84	0.98	0.65	1.78	1.26
ENSG00000004777	2.17	4.64	6.52	9.07	8.84	15.77	5.28	5.23
ENSG00000004779	121.93	52.07	88.69	38.09	49.63	67.22	69.37	31.56
ENSG00000004799	2.27	8.95	2.71	27.28	1.79	1.74	1.66	0.99
ENSG00000004809	0.06	0.24	0.08	0.16	0.15	0.07	0.00	1.05
ENSG00000004838	0.89	0.98	2.11	1.47	0.83	1.33	0.49	2.05
ENSG00000004846	0.10	0.09	0.15	0.12	0.14	0.13	0.14	0.08
ENSG00000004848	0.00	0.03	0.03	0.46	0.00	0.02	3.09	0.00
ENSG00000004864	5.87	7.23	10.63	5.49	6.63	7.21	18.19	15.37
ENSG00000004866	6.07	5.23	5.43	6.29	5.02	7.68	9.49	10.18
ENSG00000004897	9.15	15.64	19.36	18.89	22.71	12.64	22.42	9.87
ENSG00000004939	0.00	0.02	0.13	0.10	0.13	0.02	0.03	0.03
ENSG00000004948	0.01	0.06	0.00	0.02	0.01	0.00	0.07	0.04
ENSG00000004961	13.04	9.73	21.42	11.18	26.14	12.35	18.28	8.29
ENSG00000004975	10.68	13.90	16.96	16.78	17.95	19.43	14.02	8.21
ENSG00000005001	0.00	2.59	0.03	0.03	0.00	0.03	0.00	0.00
ENSG00000005007	20.06	26.13	34.53	25.19	39.91	29.33	22.31	21.80
ENSG00000005020	27.69	14.44	29.49	23.35	41.03	13.30	24.91	8.85
ENSG00000005022	269.18	199.71	297.67	156.75	561.04	147.27	626.81	201.05
ENSG00000005059	33.44	25.33	21.28	17.63	20.32	30.08	19.27	6.29
ENSG00000005073	0.23	0.00	2.15	0.14	0.10	0.58	0.15	0.00
ENSG00000005075	109.69	37.76	58.01	50.77	47.60	69.12	75.81	154.26
ENSG00000005100	2.72	5.59	14.58	4.77	8.77	10.02	4.56	7.12
ENSG00000005102	7.65	6.38	2.11	5.22	2.26	6.32	0.84	4.14
ENSG00000005108	0.16	0.24	0.05	0.19	0.30	0.12	0.57	0.04
ENSG00000005156	1.40	5.54	10.34	6.95	9.31	7.24	4.57	4.91
ENSG00000005175	21.15	24.13	18.15	19.74	29.84	18.27	29.82	9.53
ENSG00000005187	4.16	2.00	5.97	1.80	2.42	2.43	0.50	3.11
ENSG00000005189	0.54	1.66	2.75	2.33	2.12	3.04	3.44	1.72
ENSG00000005194	16.45	17.94	27.25	14.84	21.12	18.19	21.63	17.80
ENSG00000005206	15.30	42.11	45.03	49.11	42.18	44.63	27.52	37.05
ENSG00000005238	2.12	6.75	3.61	4.64	3.75	4.25	5.77	3.35
ENSG00000005243	6.68	5.09	2.07	5.41	2.83	2.35	21.54	5.39
ENSG00000005249	2.93	5.94	8.20	6.72	1.81	3.04	2.59	3.87
ENSG00000005302	93.85	69.52	80.27	47.25	86.19	45.81	20.24	38.06
ENSG00000005339	10.23	12.04	14.24	16.68	15.36	9.23	10.19	7.18
ENSG00000005379	19.88	22.56	4.13	6.22	14.32	49.26	5.21	13.92
ENSG00000005381	0.03	0.17	0.20	0.07	0.19	0.04	0.10	0.01
ENSG00000005421	0.05	0.00	0.11	0.06	0.00	0.12	0.05	0.29
ENSG00000005436	18.81	9.13	8.87	7.48	11.02	13.62	8.31	17.56
ENSG00000005448	20.25	14.46	20.92	8.23	28.76	20.21	23.35	22.61
ENSG00000005469	2.67	4.85	3.52	5.21	4.67	6.09	3.04	10.22
ENSG00000005471	4.32	5.33	2.76	4.10	3.54	5.56	4.39	7.96
ENSG00000005483	27.89	22.36	17.38	29.40	36.28	17.54	17.90	31.02
ENSG00000005486	14.68	10.90	4.72	5.37	5.79	10.42	5.41	14.94
ENSG00000005513	1.03	2.06	1.18	1.62	2.02	1.20	4.13	3.16
ENSG00000005700	15.68	12.41	7.22	13.35	12.56	16.77	9.72	13.74
ENSG00000005801	13.75	15.37	17.42	19.09	23.88	24.16	15.87	34.26
ENSG00000005810	14.95	34.42	36.62	40.88	52.64	17.83	26.08	14.18
ENSG00000005812	13.70	21.35	16.54	23.04	17.60	13.54	14.44	4.95
ENSG00000005844	10.79	86.35	13.62	87.56	78.01	92.30	10.45	63.80
ENSG00000005882	5.05	7.14	9.25	8.56	10.59	4.06	5.88	8.21
ENSG00000005884	2.13	6.58	3.54	2.98	1.94	2.22	2.06	2.88
ENSG00000005889	5.27	6.75	11.79	15.34	7.33	9.46	9.24	7.62
ENSG00000005893	25.19	26.09	15.36	32.07	38.61	25.36	46.07	13.27
ENSG00000005955	17.40	34.36	11.67	30.27	32.93	18.81	17.16	20.79
ENSG00000005961	0.13	0.18	0.39	0.16	0.21	0.12	0.25	0.33
ENSG00000005981	0.00	0.01	0.03	0.01	0.02	0.05	0.02	0.06
ENSG00000006007	10.31	10.36	11.52	11.79	10.48	10.12	16.06	5.93
ENSG00000006015	84.00	46.37	45.37	31.81	29.74	60.25	31.60	26.74
ENSG00000006016	3.45	2.53	4.37	2.16	2.24	3.47	3.02	2.05
ENSG00000006025	4.14	11.76	10.38	15.30	16.71	13.89	4.49	10.56
ENSG00000006042	3.46	3.12	4.54	1.85	1.02	0.21	7.88	0.57
ENSG00000006047	0.08	0.25	0.16	0.07	0.06	0.05	0.17	0.01
ENSG00000006062	9.24	18.57	28.64	19.90	32.99	15.51	6.29	8.86
ENSG00000006071	0.05	0.05	0.24	0.29	0.29	0.13	7.01	0.00
ENSG00000006074	57.57	255.52	30.08	115.69	12.51	338.77	450.07	17.58
ENSG00000006075	76.67	13.30	12.80	57.42	6.86	37.58	24.22	45.03
ENSG00000006114	9.35	16.87	15.36	21.36	24.86	11.38	8.71	9.51
ENSG00000006116	0.01	0.04	0.03	0.08	0.01	0.07	0.00	0.12
ENSG00000006118	1.15	2.55	1.73	1.07	2.13	0.95	12.29	4.42
ENSG00000006125	9.71	13.10	14.06	15.39	17.85	10.58	12.22	7.92
ENSG00000006128	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006194	11.03	19.82	18.05	17.30	17.66	17.10	13.52	15.01
ENSG00000006210	6.13	4.12	2.92	12.51	0.96	5.29	1.94	3.19
ENSG00000006282	8.32	18.36	26.96	13.52	13.60	27.12	13.46	28.25
ENSG00000006283	0.02	0.08	0.05	0.19	0.52	0.02	0.01	0.30
ENSG00000006327	5.74	2.52	1.00	1.99	1.46	3.45	24.21	3.37
ENSG00000006377	0.12	0.25	0.13	0.06	0.07	0.07	0.10	0.09
ENSG00000006432	0.33	1.13	1.62	2.22	1.60	0.55	1.02	0.77
ENSG00000006451	16.18	15.39	15.46	12.92	24.20	14.27	39.56	39.32
ENSG00000006453	0.28	1.09	1.28	1.44	4.36	0.96	2.96	8.04
ENSG00000006459	2.58	6.75	1.69	3.62	8.01	2.72	4.94	3.35
ENSG00000006468	7.39	0.56	0.15	0.69	0.52	4.78	2.95	0.45
ENSG00000006530	1.89	6.55	7.16	5.89	9.11	7.83	7.01	6.60
ENSG00000006534	2.13	3.15	4.59	3.34	2.15	3.71	3.73	5.14
ENSG00000006555	0.79	2.69	0.23	0.92	0.78	1.30	0.22	0.50
ENSG00000006576	82.14	15.04	11.85	18.97	13.76	11.75	11.40	18.94
ENSG00000006606	0.64	0.06	0.00	1.38	0.10	0.03	0.31	0.00
ENSG00000006607	2.32	5.85	7.60	12.60	12.15	3.40	7.02	3.59
ENSG00000006611	0.00	0.11	0.08	0.00	0.00	0.00	0.08	0.00
ENSG00000006625	57.35	28.02	43.24	20.30	26.54	46.09	39.76	71.32
ENSG00000006634	18.77	12.40	17.88	12.65	21.83	20.06	23.87	35.73
ENSG00000006638	1.36	1.19	0.99	1.75	1.44	1.64	1.03	1.60
ENSG00000006652	49.08	19.46	15.19	12.99	13.53	18.40	18.47	29.74
ENSG00000006659	0.00	0.20	0.04	0.00	0.00	0.04	0.00	0.07
ENSG00000006695	4.80	4.65	9.15	4.27	7.28	5.63	5.58	3.53
ENSG00000006704	0.21	0.84	0.09	0.16	0.23	0.37	0.68	0.36
ENSG00000006712	31.21	30.54	35.10	34.85	28.87	37.46	35.01	20.41
ENSG00000006715	10.73	17.71	18.44	18.25	18.30	15.60	14.31	33.74
ENSG00000006740	4.61	2.88	4.98	7.46	2.47	6.38	9.33	5.68
ENSG00000006744	18.04	28.23	42.83	24.33	30.55	38.32	27.21	26.14
ENSG00000006747	0.14	0.28	0.17	0.38	0.06	0.12	1.64	0.25
ENSG00000006756	3.78	3.31	1.05	4.62	1.19	2.16	1.58	1.20
ENSG00000006757	3.48	3.34	6.77	5.68	4.15	6.66	8.21	5.20
ENSG00000006788	0.00	0.01	0.03	0.00	0.00	0.00	0.01	0.01
ENSG00000006831	6.65	16.28	12.25	14.26	15.65	14.24	17.10	12.59
ENSG00000006837	2.57	1.61	3.21	3.35	2.41	1.95	1.41	2.36
ENSG00000007001	0.02	0.06	0.00	0.00	0.01	0.01	0.00	0.10
ENSG00000007038	8.14	0.43	0.30	0.23	0.08	2.18	0.10	0.18
ENSG00000007047	4.81	4.19	8.33	6.42	6.33	6.60	7.46	4.63
ENSG00000007062	0.00	0.18	0.06	0.01	0.03	0.00	0.22	0.02
ENSG00000007080	67.72	32.53	75.51	32.01	41.50	81.47	63.80	35.89
ENSG00000007129	6.64	8.11	1.73	12.99	6.84	11.32	2.48	5.06
ENSG00000007168	27.16	33.09	20.94	32.09	33.26	22.35	37.19	34.55
ENSG00000007171	0.03	0.12	0.11	0.06	0.27	0.03	0.13	0.02
ENSG00000007174	0.24	0.21	0.25	0.25	0.15	0.14	0.10	0.31
ENSG00000007202	9.21	28.21	42.98	34.22	33.55	22.51	22.94	15.24
ENSG00000007216	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
ENSG00000007237	1.53	6.13	1.74	4.73	3.67	3.34	8.92	2.90
ENSG00000007255	61.14	22.23	31.79	17.96	15.14	18.84	22.61	18.74
ENSG00000007264	3.25	7.63	1.73	3.37	1.22	3.41	0.85	1.49
ENSG00000007306	0.00	0.31	0.08	0.00	0.00	0.00	0.00	0.00
ENSG00000007312	399.19	206.65	618.20	506.06	320.91	341.59	483.27	239.34
ENSG00000007314	0.05	0.30	0.20	1.63	0.08	0.15	0.91	0.68
ENSG00000007341	8.07	4.06	3.80	6.93	4.20	4.89	3.20	4.46
ENSG00000007350	0.06	0.24	0.02	0.13	0.08	0.60	0.00	0.06
ENSG00000007372	0.33	0.35	7.90	0.38	0.39	0.29	7.19	0.12
ENSG00000007376	12.00	11.10	20.23	10.00	10.76	16.68	13.83	9.33
ENSG00000007384	2.06	4.39	1.32	4.56	1.80	2.63	3.89	5.09
ENSG00000007392	61.23	83.27	48.27	64.78	41.89	72.33	48.99	160.82
ENSG00000007402	0.16	0.81	0.26	0.41	0.32	1.20	0.23	0.08
ENSG00000007516	1.06	7.57	0.55	1.08	0.66	1.40	0.41	2.81
ENSG00000007520	37.87	25.79	28.51	22.33	22.45	26.05	29.96	16.29
ENSG00000007541	11.42	11.62	12.25	9.96	9.41	13.35	10.09	10.44
ENSG00000007545	1.29	7.01	9.41	10.97	6.74	8.60	5.15	6.09
ENSG00000007866	0.77	2.07	0.74	1.03	1.05	0.70	4.03	0.77
ENSG00000007908	17.23	3.96	0.45	1.16	0.50	0.12	2.50	1.43
ENSG00000007923	3.62	14.65	29.15	14.20	16.01	20.78	12.86	22.24
ENSG00000007933	1.73	12.01	1.59	3.36	0.83	1.11	1.15	0.98
ENSG00000007944	8.32	12.90	4.61	10.11	17.11	11.07	9.03	7.24
ENSG00000007952	0.00	0.08	0.00	0.04	0.12	0.00	0.12	0.34
ENSG00000007968	1.27	3.30	9.36	4.14	6.79	3.36	12.84	3.65
ENSG00000008018	113.21	119.52	78.26	126.41	125.24	202.21	163.90	122.98
ENSG00000008056	0.11	0.25	0.04	0.05	0.07	0.09	0.09	0.03
ENSG00000008083	2.22	6.99	7.44	7.64	4.38	7.03	1.18	5.84
ENSG00000008086	0.00	0.12	0.16	0.11	0.21	0.00	0.14	0.04
ENSG00000008118	0.08	0.18	0.10	0.10	0.31	0.04	0.22	0.14
ENSG00000008128	43.44	65.92	62.70	70.69	49.47	89.69	27.81	76.50
ENSG00000008130	33.02	45.45	63.35	54.84	46.56	73.93	48.77	56.68
ENSG00000008196	0.00	0.00	0.48	0.00	0.00	0.00	2.73	0.08
ENSG00000008197	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
ENSG00000008226	0.21	1.04	0.35	0.50	0.33	0.55	0.15	0.48
ENSG00000008256	1.05	3.70	0.94	1.69	1.17	0.62	3.44	2.16
ENSG00000008277	0.95	0.74	3.21	0.72	1.11	0.51	0.26	0.46
ENSG00000008282	120.57	53.63	40.84	42.09	56.50	44.16	90.78	19.33
ENSG00000008283	1.80	8.30	3.75	6.04	2.21	3.22	6.40	4.09
ENSG00000008294	6.75	14.17	11.19	15.59	13.52	10.27	13.69	7.42
ENSG00000008300	3.51	2.54	0.95	1.07	1.77	2.84	1.08	4.56
ENSG00000008311	2.07	3.10	0.99	4.04	1.65	1.32	1.11	0.81
ENSG00000008323	0.04	0.19	0.02	0.69	0.09	0.02	0.01	0.02
ENSG00000008324	63.33	35.59	94.26	30.95	34.97	79.34	34.99	42.16
ENSG00000008382	16.55	8.00	10.24	8.60	10.36	14.35	10.74	8.21
ENSG00000008394	23.87	2.48	15.82	42.87	1.12	1.50	0.90	3.00
ENSG00000008405	5.00	6.46	0.69	2.10	1.78	1.99	3.02	0.84
ENSG00000008438	0.04	0.00	0.43	0.12	0.24	0.00	0.22	0.09
ENSG00000008441	1.08	3.40	1.13	3.38	1.53	1.10	1.87	0.98
ENSG00000008513	4.55	12.86	24.52	15.25	13.93	10.23	7.05	9.00
ENSG00000008516	2.05	5.25	2.47	5.60	4.62	8.23	0.99	5.35
ENSG00000008517	250.51	366.27	60.22	175.36	69.00	374.06	151.35	169.05
ENSG00000008710	4.61	34.80	42.08	36.57	35.23	55.69	23.03	21.64
ENSG00000008735	0.22	0.96	0.13	0.25	0.83	0.12	0.14	2.61
ENSG00000008838	21.37	27.93	36.79	26.64	32.57	42.54	22.89	22.27
ENSG00000008853	14.49	11.09	8.75	64.24	4.78	15.00	57.77	5.22
ENSG00000008869	3.64	9.39	7.24	14.55	17.75	8.72	4.79	6.14
ENSG00000008952	22.81	37.38	136.01	94.27	40.09	65.30	44.79	23.45
ENSG00000008988	5952.94	2176.98	1502.33	1539.40	1677.58	2382.25	2086.83	3222.07
ENSG00000009307	95.89	128.31	129.52	145.19	146.96	116.64	107.53	58.27
ENSG00000009335	3.56	13.26	21.74	16.02	21.47	11.78	19.28	10.24
ENSG00000009413	9.19	8.70	5.98	10.87	10.18	7.12	8.93	9.61
ENSG00000009694	0.07	0.94	0.07	0.25	0.18	0.32	24.65	0.58
ENSG00000009709	0.00	0.02	0.03	0.00	0.00	0.01	0.00	0.00
ENSG00000009724	0.12	1.70	0.86	1.34	2.55	0.64	0.30	0.06
ENSG00000009765	0.21	0.25	0.41	0.30	0.36	0.30	0.17	0.19
ENSG00000009780	6.77	4.47	5.96	5.33	6.28	3.86	3.97	3.62
ENSG00000009790	85.46	155.61	47.31	125.05	92.45	83.77	15.72	79.46
ENSG00000009830	2.66	5.76	9.73	4.27	4.22	8.84	8.20	10.23
ENSG00000009844	10.20	14.96	11.00	18.94	24.79	14.71	19.54	7.05
ENSG00000009950	0.22	0.22	0.40	0.89	0.38	0.29	0.15	0.26
ENSG00000009954	4.68	9.84	14.97	12.67	15.21	10.31	14.50	12.25
ENSG00000010017	18.68	19.59	13.73	16.88	22.66	20.65	26.95	20.92
ENSG00000010030	3.23	3.49	0.95	2.19	0.84	2.28	7.42	1.39
ENSG00000010072	2.52	3.48	5.44	5.51	5.19	4.88	5.86	4.35
ENSG00000010165	12.45	13.51	36.51	15.57	16.52	12.36	13.69	6.32
ENSG00000010219	52.92	20.13	10.74	32.53	16.98	30.27	19.50	53.37
ENSG00000010244	97.52	70.74	94.87	98.46	128.44	93.00	95.73	53.53
ENSG00000010256	63.04	55.63	105.72	41.55	69.87	98.29	83.30	80.37
ENSG00000010270	24.22	12.47	15.63	15.12	14.89	17.19	19.90	9.81
ENSG00000010278	13.87	34.79	5.76	6.32	5.85	7.61	167.57	8.53
ENSG00000010282	0.06	0.90	0.00	0.07	0.00	0.09	0.19	0.00
ENSG00000010292	7.19	22.97	19.71	24.22	37.16	38.36	66.90	30.52
ENSG00000010295	10.32	31.98	10.58	26.79	17.19	33.65	15.59	18.20
ENSG00000010310	0.49	4.24	0.90	4.63	2.02	4.69	2.73	6.63
ENSG00000010318	2.59	2.88	9.93	5.23	3.70	6.51	2.25	1.76
ENSG00000010319	0.86	0.78	1.21	3.58	0.74	0.36	0.92	0.54
ENSG00000010322	14.31	41.60	43.73	38.40	35.17	43.78	20.79	21.24
ENSG00000010327	12.47	92.05	9.07	5.21	6.26	8.29	32.88	6.90
ENSG00000010361	10.87	7.22	28.00	8.35	8.21	12.00	5.75	3.76
ENSG00000010379	1.37	0.28	0.16	0.61	0.07	0.14	0.04	0.83
ENSG00000010404	14.16	3.98	9.88	32.41	40.28	17.51	64.90	13.39
ENSG00000010438	0.05	0.70	0.25	0.05	0.06	0.00	0.36	0.22
ENSG00000010539	2.39	6.28	7.66	5.46	12.69	7.35	4.14	7.28
ENSG00000010610	7.94	36.42	13.45	20.04	16.54	19.93	10.51	15.72
ENSG00000010626	2.43	1.72	0.71	1.65	2.03	1.74	2.60	2.34
ENSG00000010671	13.92	31.79	32.23	53.91	66.98	26.19	30.11	42.50
ENSG00000010704	1.17	2.02	1.64	3.28	2.52	2.32	1.40	0.86
ENSG00000010803	4.60	10.51	12.83	9.59	9.46	18.86	12.49	17.88
ENSG00000010810	14.63	119.28	25.38	30.99	46.66	141.78	58.62	59.81
ENSG00000010818	1.45	9.56	4.71	7.96	8.00	9.21	9.28	3.85
ENSG00000010932	0.23	2.19	1.54	2.20	0.23	0.14	4.22	1.06
ENSG00000011007	9.83	10.48	9.09	13.93	13.36	12.27	7.56	7.93
ENSG00000011009	34.80	36.68	45.25	27.54	38.41	38.18	28.44	26.37
ENSG00000011021	3.59	6.31	12.50	9.39	7.24	7.11	5.85	5.37
ENSG00000011028	5.32	7.97	6.49	17.11	7.46	11.62	29.42	14.36
ENSG00000011052	660.50	268.64	486.52	258.66	255.25	299.89	340.93	320.46
ENSG00000011083	0.03	0.23	0.12	0.14	0.33	0.27	0.18	0.35
ENSG00000011105	1.57	2.57	0.93	1.71	1.73	0.67	4.76	0.38
ENSG00000011114	5.07	5.91	4.95	6.32	5.32	5.89	6.21	6.45
ENSG00000011132	18.03	15.66	13.23	17.23	16.99	19.54	7.94	13.28
ENSG00000011143	5.55	7.79	10.32	5.24	15.13	3.41	7.42	7.15
ENSG00000011198	2.54	3.58	7.01	6.16	3.88	4.60	5.31	2.47
ENSG00000011201	0.70	1.02	0.20	0.49	1.25	1.10	3.01	0.61
ENSG00000011243	33.74	50.17	34.18	53.06	56.48	53.65	29.01	44.42
ENSG00000011258	9.14	8.07	7.52	8.95	8.56	6.80	4.99	4.62
ENSG00000011260	44.60	23.18	36.06	19.35	24.51	26.48	32.29	16.85
ENSG00000011275	4.92	18.79	12.15	14.22	18.90	18.13	8.89	14.30
ENSG00000011295	15.09	15.16	19.02	15.17	17.46	17.53	14.46	9.96
ENSG00000011304	63.00	98.70	141.66	97.13	124.25	165.29	111.75	94.39
ENSG00000011332	0.32	0.30	2.29	0.44	1.46	0.94	3.78	0.69
ENSG00000011347	0.05	0.20	0.04	0.19	0.10	0.02	0.41	0.03
ENSG00000011376	1.29	4.44	13.90	5.09	6.86	7.48	4.84	3.48
ENSG00000011405	4.95	5.28	5.51	8.83	6.66	3.99	5.77	4.21
ENSG00000011422	14.71	6.21	2.27	7.95	8.19	8.75	38.26	13.25
ENSG00000011426	6.22	3.87	7.86	5.23	9.52	9.19	16.61	18.37
ENSG00000011451	3.23	7.83	11.64	9.70	11.47	11.58	7.68	5.27
ENSG00000011454	8.26	13.50	18.74	18.79	17.99	11.90	14.87	9.48
ENSG00000011465	100.24	143.15	6.95	67.29	10.80	8.41	268.71	9.00
ENSG00000011478	18.35	4.85	12.47	7.79	9.54	11.54	3.38	10.04
ENSG00000011485	24.86	21.88	63.99	27.35	29.08	33.35	32.16	18.54
ENSG00000011523	1.76	5.99	7.70	3.47	4.46	5.33	4.18	2.99
ENSG00000011566	3.87	4.51	2.39	3.26	2.47	4.57	5.49	6.64
ENSG00000011590	3.27	6.72	2.22	12.85	25.52	14.60	0.92	1.53
ENSG00000011600	89.55	83.18	41.12	82.02	34.03	130.89	125.60	102.68
ENSG00000011638	25.72	13.34	18.02	14.69	10.82	4.53	13.62	3.60
ENSG00000011677	0.00	0.01	0.01	0.00	0.01	0.00	0.01	0.00
ENSG00000012048	4.16	5.88	20.19	5.14	15.96	12.32	18.20	6.39
ENSG00000012061	63.80	28.12	26.67	26.69	26.54	34.16	30.98	22.29
ENSG00000012124	41.92	179.58	253.93	397.90	395.34	64.54	415.26	102.57
ENSG00000012171	0.25	0.53	0.23	0.40	0.24	0.18	0.36	0.79
ENSG00000012174	1.58	2.09	2.30	2.65	4.32	1.54	5.56	1.20
ENSG00000012211	2.22	4.25	3.21	4.02	7.35	3.44	4.97	5.07
ENSG00000012223	21.43	18.81	0.65	112.24	2.13	0.68	1.77	10.02
ENSG00000012232	2.15	4.60	5.68	5.22	4.62	4.18	4.41	2.73
ENSG00000012504	0.00	0.31	0.02	0.00	0.00	0.00	0.00	0.00
ENSG00000012660	91.70	55.04	68.01	41.47	74.29	58.23	47.18	50.03
ENSG00000012779	33.81	14.81	3.85	3.48	8.09	3.11	6.77	3.01
ENSG00000012817	0.08	58.86	0.12	0.26	72.75	0.23	18.35	47.47
ENSG00000012822	15.82	33.74	18.45	48.92	26.23	25.64	19.00	17.21
ENSG00000012963	26.10	14.04	16.07	11.74	14.92	11.30	42.00	9.92
ENSG00000012983	15.38	10.52	12.90	20.74	13.17	11.75	13.71	14.12
ENSG00000013016	5.25	19.77	31.77	12.20	99.09	5.29	12.85	8.55
ENSG00000013275	52.34	42.45	46.72	39.13	43.89	59.28	48.25	57.02
ENSG00000013288	9.27	13.07	7.49	25.64	11.37	12.28	6.79	7.65
ENSG00000013293	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.07
ENSG00000013297	6.07	2.25	2.09	4.17	1.61	1.19	0.99	1.39
ENSG00000013306	61.41	61.16	85.47	59.52	87.74	91.83	59.51	118.31
ENSG00000013364	29.65	89.97	35.82	79.36	51.51	82.53	45.17	35.36
ENSG00000013374	16.15	39.32	17.47	29.03	28.80	21.37	28.46	14.77
ENSG00000013375	5.41	6.55	3.71	13.42	5.39	7.98	9.25	5.82
ENSG00000013392	2.92	3.92	1.98	4.68	2.90	4.67	3.06	3.16
ENSG00000013441	766.76	220.37	63.53	161.59	85.48	150.22	71.47	138.08
ENSG00000013503	1.33	2.41	2.56	1.83	2.44	2.02	3.39	2.72
